Photo_ID,Date,Year,Primary_Condition,Public_Condition,Overall_Score,Curation_Status,Confidence,Sequence_ID,Reason
TPC-00001,2021-07-02,2021,UNKNOWN,the-things-i-didnt-go-looking-for,8.1,CURATED,MEDIUM,,"The unplanned encounter is photographically resolved through colour, form, timing or visual surprise."
TPC-00002,2021-07-04,2021,UNKNOWN,nothing-happened-here,6.8,ARCHIVE_ONLY,MEDIUM,,Valid TPC evidence retained privately; below the 8.0 public threshold or redundant beside a stronger photograph in the same year and Condition.
TPC-00003,2021-07-04,2021,UNKNOWN,while-we-were-here,8.3,SEQUENCE_MEMBER,MEDIUM,SEQ-COPRESENCE-2021-01,"Timing, gesture and spatial relationships make co-presence visually active rather than merely populated."
TPC-00004,2021-07-04,2021,UNKNOWN,while-we-were-here,8.3,SEQUENCE_MEMBER,MEDIUM,SEQ-COPRESENCE-2021-01,"Timing, gesture and spatial relationships make co-presence visually active rather than merely populated."
TPC-00005,2021-07-04,2021,UNKNOWN,nothing-happened-here,8.4,CURATED,HIGH,SEQ-CANDIDATE-001,"The unoccupied scene sustains attention through light, spatial tension and a palpable sense of witnessed quiet."
TPC-00006,2021-07-04,2021,UNKNOWN,nothing-happened-here,5.4,ARCHIVE_ONLY,MEDIUM,SEQ-CANDIDATE-001,Valid TPC evidence retained privately; below the 8.0 public threshold or redundant beside a stronger photograph in the same year and Condition.
TPC-00007,2021-07-09,2021,UNKNOWN,nothing-happened-here,5.3,ARCHIVE_ONLY,MEDIUM,,Valid TPC evidence retained privately; below the 8.0 public threshold or redundant beside a stronger photograph in the same year and Condition.
TPC-00008,2021-07-10,2021,UNKNOWN,between-places,5.3,ARCHIVE_ONLY,MEDIUM,SEQ-CANDIDATE-002,Valid TPC evidence retained privately; below the 8.0 public threshold or redundant beside a stronger photograph in the same year and Condition.
TPC-00009,2021-07-10,2021,UNKNOWN,the-things-i-didnt-go-looking-for,5.3,ARCHIVE_ONLY,MEDIUM,SEQ-CANDIDATE-002,Valid TPC evidence retained privately; below the 8.0 public threshold or redundant beside a stronger photograph in the same year and Condition.
TPC-00011,2021-07-10,2021,UNKNOWN,while-we-were-here,8.1,CURATED,MEDIUM,,"Timing, gesture and spatial relationships make co-presence visually active rather than merely populated."
TPC-00012,2021-07-10,2021,UNKNOWN,between-places,6.7,ARCHIVE_ONLY,MEDIUM,,Valid TPC evidence retained privately; below the 8.0 public threshold or redundant beside a stronger photograph in the same year and Condition.
TPC-00013,2021-07-12,2021,UNKNOWN,while-we-were-here,6.0,ARCHIVE_ONLY,MEDIUM,SEQ-CANDIDATE-003,Valid TPC evidence retained privately; below the 8.0 public threshold or redundant beside a stronger photograph in the same year and Condition.
TPC-00014,2021-07-12,2021,UNKNOWN,,6.7,ARCHIVE_ONLY,MEDIUM,SEQ-CANDIDATE-003,Valid TPC evidence retained privately; below the 8.0 public threshold or redundant beside a stronger photograph in the same year and Condition.
TPC-00015,2021-07-12,2021,UNKNOWN,nothing-happened-here,6.0,ARCHIVE_ONLY,MEDIUM,SEQ-CANDIDATE-003,Valid TPC evidence retained privately; below the 8.0 public threshold or redundant beside a stronger photograph in the same year and Condition.
TPC-00016,2021-07-13,2021,UNKNOWN,things-that-existed-for-me,6.0,ARCHIVE_ONLY,MEDIUM,,Valid TPC evidence retained privately; below the 8.0 public threshold or redundant beside a stronger photograph in the same year and Condition.
TPC-00017,2021-07-14,2021,UNKNOWN,,6.7,ARCHIVE_ONLY,MEDIUM,,Valid TPC evidence retained privately; below the 8.0 public threshold or redundant beside a stronger photograph in the same year and Condition.
